ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.239109431,2.239065338
16,33554432,536870912,2.150965595,2.150963116
32,16777216,536870912,2.245209264,2.245206725
64,8388608,536870912,2.237782182,2.237778078
128,4194304,536870912,2.131673580,2.131656474
256,2097152,536870912,2.009508990,2.009492983
512,1048576,536870912,2.173948389,2.102524754
1024,524288,536870912,2.031389876,2.031298155
2048,262144,536870912,2.235551295,2.035791747
4096,131072,536870912,2.186703670,2.186531203
8192,65536,536870912,4.055336347,2.090079485
16384,32768,536870912,2.004991541,2.004286782
32768,16384,536870912,2.162407259,2.007332842
65536,8192,536870912,2.315115271,1.979892221
131072,4096,536870912,2.067722590,1.988955406
262144,2048,536870912,3.318938681,2.136284901
524288,1024,536870912,6.465054825,3.515462871
1048576,512,536870912,7.199139757,3.840288529
2097152,256,536870912,7.062962161,2.760498197
4194304,128,536870912,2.542142053,2.303249341
8388608,64,536870912,13.463883862,3.918560634
16777216,32,536870912,5.425299895,2.555470028
33554432,16,536870912,39.241934711,2.893809815
67108864,8,536870912,29.248663797,2.481126306
134217728,4,536870912,15.838070627,2.158437708
268435456,2,536870912,123.440709572,2.752455648
536870912,1,536870912,88.344655526,3.190060454
