ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.748106989,1.748104810
16,33554432,536870912,1.706094958,1.706093222
32,16777216,536870912,1.886058253,1.886052204
64,8388608,536870912,1.789407678,1.789404060
128,4194304,536870912,1.737729818,1.737723863
256,2097152,536870912,1.727276419,1.727263509
512,1048576,536870912,1.702792942,1.702771453
1024,524288,536870912,1.657079432,1.657038097
2048,262144,536870912,1.710887686,1.710807240
4096,131072,536870912,1.679595274,1.679444787
8192,65536,536870912,1.667328118,1.667045353
16384,32768,536870912,1.765269760,1.764686646
32768,16384,536870912,1.694906044,1.693633676
65536,8192,536870912,1.699444168,1.696889774
131072,4096,536870912,1.689351389,1.684604675
262144,2048,536870912,1.699316841,1.689792954
524288,1024,536870912,1.732875823,1.714053087
1048576,512,536870912,1.759551657,1.724571783
2097152,256,536870912,1.868528829,1.798837269
4194304,128,536870912,1.933014132,1.794064887
8388608,64,536870912,2.075541492,1.800113189
16777216,32,536870912,2.368494360,1.824770802
33554432,16,536870912,2.927631408,1.813180211
67108864,8,536870912,4.035485183,1.811838125
134217728,4,536870912,6.173041794,1.812290692
268435456,2,536870912,11.313549819,2.167126567
536870912,1,536870912,19.873846680,1.851788999
