ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.221908344,2.221905692
16,33554432,536870912,2.082408268,2.082406024
32,16777216,536870912,2.233552877,2.233547371
64,8388608,536870912,2.149879056,2.149875357
128,4194304,536870912,2.073133716,2.073127823
256,2097152,536870912,2.004242446,2.004230437
512,1048576,536870912,1.992414761,1.992390921
1024,524288,536870912,1.969460339,1.969418309
2048,262144,536870912,1.939054172,1.938975696
4096,131072,536870912,1.955358623,1.955204733
8192,65536,536870912,1.922449890,1.922140243
16384,32768,536870912,1.937892954,1.937285287
32768,16384,536870912,1.951099746,1.949757358
65536,8192,536870912,1.977120584,1.974486451
131072,4096,536870912,1.970792016,1.965384733
262144,2048,536870912,2.022670293,2.012347893
524288,1024,536870912,2.268231336,2.248241779
1048576,512,536870912,2.338834852,2.299805447
2097152,256,536870912,2.138311340,2.063245893
4194304,128,536870912,2.213052753,2.066398017
8388608,64,536870912,2.316273585,2.026895141
16777216,32,536870912,2.601281700,2.026321970
33554432,16,536870912,3.298397987,2.121949590
67108864,8,536870912,4.357020935,2.028237180
134217728,4,536870912,6.587043382,2.013448648
268435456,2,536870912,35.224279257,2.475146988
536870912,1,536870912,120.670670799,2.413176505
