ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,2.471808331,2.471806174
16,33554432,536870912,2.378175745,2.378173434
32,16777216,536870912,2.402307819,2.402300657
64,8388608,536870912,2.322952972,2.322949049
128,4194304,536870912,2.265216687,2.265210875
256,2097152,536870912,2.396928815,2.396915885
512,1048576,536870912,2.312146374,2.312124872
1024,524288,536870912,2.342135238,2.342094579
2048,262144,536870912,2.356030583,2.355956431
4096,131072,536870912,2.375868273,2.375723871
8192,65536,536870912,2.464871417,2.464580730
16384,32768,536870912,2.258115407,2.257530301
32768,16384,536870912,2.247719057,2.246497886
65536,8192,536870912,2.253631132,2.251259112
131072,4096,536870912,2.262323660,2.257479327
262144,2048,536870912,2.319496493,2.309870072
524288,1024,536870912,2.395333288,2.376843893
1048576,512,536870912,2.437251158,2.401816204
2097152,256,536870912,2.468642032,2.398311519
4194304,128,536870912,2.537163605,2.397665616
8388608,64,536870912,2.733264259,2.450175685
16777216,32,536870912,2.870454761,2.338022458
33554432,16,536870912,3.469010582,2.366453307
67108864,8,536870912,4.540331766,2.367798464
134217728,4,536870912,6.951472244,2.588347488
268435456,2,536870912,11.365731214,2.422560938
536870912,1,536870912,19.887597989,2.321127679
