ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.938334416,0.938333570
16,33554432,536870912,0.883123428,0.883122382
32,16777216,536870912,0.894956197,0.894954570
64,8388608,536870912,0.826957600,0.826951327
128,4194304,536870912,0.845366237,0.845359956
256,2097152,536870912,0.666294788,0.666283558
512,1048576,536870912,0.664769403,0.664749974
1024,524288,536870912,0.625372524,0.625334164
2048,262144,536870912,0.625734968,0.625656991
4096,131072,536870912,0.629228789,0.629069753
8192,65536,536870912,0.662517961,0.662199073
16384,32768,536870912,0.631376870,0.630707210
32768,16384,536870912,0.629362823,0.628063751
65536,8192,536870912,0.640470167,0.637870103
131072,4096,536870912,0.639004786,0.633831622
262144,2048,536870912,0.650811884,0.640318165
524288,1024,536870912,0.707568050,0.686606236
1048576,512,536870912,0.820144682,0.777764612
2097152,256,536870912,1.011421342,0.922858942
4194304,128,536870912,1.206698561,1.036033474
8388608,64,536870912,1.418227600,1.068160495
16777216,32,536870912,1.743267452,1.056609220
33554432,16,536870912,2.435381407,1.058768290
67108864,8,536870912,3.805371896,1.062297532
134217728,4,536870912,6.542135381,1.040430667
268435456,2,536870912,11.973802994,1.039390794
536870912,1,536870912,66.239227283,44.048955610
