ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.770393150,0.770392194
16,33554432,536870912,0.742111631,0.742110589
32,16777216,536870912,0.743162115,0.743160637
64,8388608,536870912,0.661349319,0.661344307
128,4194304,536870912,0.635579926,0.635573593
256,2097152,536870912,0.491881653,0.491870479
512,1048576,536870912,0.480318108,0.480298412
1024,524288,536870912,0.495120557,0.495082276
2048,262144,536870912,0.481917649,0.481839947
4096,131072,536870912,0.484674044,0.484512766
8192,65536,536870912,0.489658825,0.489344217
16384,32768,536870912,0.490718111,0.490079440
32768,16384,536870912,0.493276770,0.491966511
65536,8192,536870912,0.498984755,0.496367968
131072,4096,536870912,0.505813409,0.500641725
262144,2048,536870912,0.514351768,0.504004996
524288,1024,536870912,0.544521862,0.523647596
1048576,512,536870912,0.628882051,0.586895607
2097152,256,536870912,0.784045524,0.698622598
4194304,128,536870912,0.968303003,0.798338478
8388608,64,536870912,1.180381886,0.840151121
16777216,32,536870912,1.539952594,0.859089816
33554432,16,536870912,2.246518792,0.881878682
67108864,8,536870912,3.597093155,0.862662396
134217728,4,536870912,6.321152865,0.864158427
268435456,2,536870912,11.792345520,0.860927340
536870912,1,536870912,43.445295669,21.300698292
