ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.644761835,0.644760947
16,33554432,536870912,0.661515222,0.661514104
32,16777216,536870912,0.694052450,0.694050846
64,8388608,536870912,0.684530221,0.684524169
128,4194304,536870912,0.660195824,0.660188251
256,2097152,536870912,0.426936264,0.426923851
512,1048576,536870912,0.398943434,0.398922160
1024,524288,536870912,0.393225404,0.393186061
2048,262144,536870912,0.379656771,0.379577025
4096,131072,536870912,0.378811688,0.378644035
8192,65536,536870912,0.373008734,0.372677610
16384,32768,536870912,0.369853421,0.369187168
32768,16384,536870912,0.371924642,0.370588295
65536,8192,536870912,0.374513944,0.371859900
131072,4096,536870912,0.381401531,0.376160894
262144,2048,536870912,0.389845463,0.379189244
524288,1024,536870912,0.410112925,0.388812989
1048576,512,536870912,0.473745889,0.431581324
2097152,256,536870912,0.595627331,0.510258981
4194304,128,536870912,0.781115553,0.609609623
8388608,64,536870912,0.995410849,0.655223205
16777216,32,536870912,1.351453627,0.671499653
33554432,16,536870912,2.038380404,0.676183651
67108864,8,536870912,3.404805380,0.683091295
134217728,4,536870912,6.193365436,0.688740229
268435456,2,536870912,11.640052591,0.689472607
536870912,1,536870912,35.380254554,12.958499198
