ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.766299930,0.766299083
16,33554432,536870912,0.749887915,0.749886867
32,16777216,536870912,0.741223405,0.741221899
64,8388608,536870912,0.677933630,0.677928420
128,4194304,536870912,0.659244469,0.659238021
256,2097152,536870912,0.509798679,0.509787127
512,1048576,536870912,0.491978024,0.491958724
1024,524288,536870912,0.486091493,0.486053032
2048,262144,536870912,0.494204598,0.494126879
4096,131072,536870912,0.495692286,0.495534628
8192,65536,536870912,0.493050040,0.492737457
16384,32768,536870912,0.494289628,0.493653931
32768,16384,536870912,0.501091914,0.499794655
65536,8192,536870912,0.499350644,0.496758308
131072,4096,536870912,0.504441134,0.499268120
262144,2048,536870912,0.512459343,0.502109557
524288,1024,536870912,0.551219868,0.530247338
1048576,512,536870912,0.632400664,0.590305697
2097152,256,536870912,0.781844803,0.697407295
4194304,128,536870912,0.964790952,0.795199359
8388608,64,536870912,1.181459363,0.841652478
16777216,32,536870912,1.540523324,0.855360713
33554432,16,536870912,2.225094673,0.861542734
67108864,8,536870912,3.583373695,0.860419543
134217728,4,536870912,6.297222922,0.857749144
268435456,2,536870912,11.720397503,0.853405728
536870912,1,536870912,44.282284219,22.250381878
