System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
Lab,Deferred,1,100,1,0.00011,0.000007,0.000117
Lab,Deferred,1,10000,1,0.001073,0.000615,0.001688
Lab,Deferred,1,1000000,1,0.095991,0.06617,0.162162
Lab,Deferred,1,100000000,1,9.575757,6.324154,15.89991
Lab,Deferred,1,1000000000,1,251.877855,202.435343,454.313197
Lab,Deferred,2,100,1,0.000326,0.000007,0.000333
Lab,Deferred,2,10000,1,0.001335,0.000615,0.00195
Lab,Deferred,2,1000000,1,0.099146,0.062716,0.161862
Lab,Deferred,2,100000000,1,9.561929,6.063722,15.625651
Lab,Deferred,2,1000000000,1,248.848836,194.558235,443.407071
Lab,Deferred,3,100,1,0.001533,0.000008,0.00154
Lab,Deferred,3,10000,1,0.002722,0.000611,0.003333
Lab,Deferred,3,1000000,1,0.136212,0.062197,0.198409
Lab,Deferred,3,100000000,1,12.403523,6.025719,18.429243
Lab,Deferred,3,1000000000,1,260.3686,198.718011,459.086611
