System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
HPC,Immediate,1,100,1,0.000198,0.00003,0.000228
HPC,Immediate,1,10000,1,0.003203,0.00269,0.005892
HPC,Immediate,1,1000000,1,0.302235,0.271625,0.57386
HPC,Immediate,1,100000000,1,30.301925,27.278852,57.580776
HPC,Immediate,1,1000000000,1,307.649723,273.443162,581.092885
HPC,Immediate,2,100,1,0.000651,0.00003,0.000681
HPC,Immediate,2,10000,1,0.003711,0.002719,0.00643
HPC,Immediate,2,1000000,1,0.310953,0.272672,0.583625
HPC,Immediate,2,100000000,1,30.902893,27.188265,58.091158
HPC,Immediate,2,1000000000,1,313.563089,275.079537,588.642626
HPC,Immediate,3,100,1,0.004294,0.000048,0.004342
HPC,Immediate,3,10000,1,0.01362,0.004188,0.017808
HPC,Immediate,3,1000000,1,0.364905,0.299323,0.664228
HPC,Immediate,3,100000000,1,30.452036,26.874015,57.326051
HPC,Immediate,3,1000000000,1,306.363396,268.931661,575.295057
