System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
HPC,Deferred,1,14000000,2,4.227915,1.698045,5.925961
HPC,Deferred,1,14000000,4,4.211564,1.088642,5.300206
HPC,Deferred,1,14000000,8,4.262959,0.82869,5.091649
HPC,Deferred,1,14000000,16,4.282682,0.645678,4.92836
HPC,Deferred,2,14000000,2,4.334897,1.635936,5.970833
HPC,Deferred,2,14000000,4,4.392709,1.355016,5.747724
HPC,Deferred,2,14000000,8,4.373447,0.739709,5.113156
HPC,Deferred,2,14000000,16,4.460709,0.655718,5.116427
HPC,Deferred,3,14000000,2,4.346933,1.692915,6.039847
HPC,Deferred,3,14000000,4,4.36561,1.081848,5.447458
HPC,Deferred,3,14000000,8,4.706045,0.720185,5.42623
HPC,Deferred,3,14000000,16,4.328722,0.638549,4.967271
