System,Approach,Config,Particles,Threads,Total_Interp,Total_Mover,Overall_Time
Lab,Deferred,1,14000000,2,1.319004,0.541827,1.860831
Lab,Deferred,1,14000000,4,1.308252,0.353251,1.661504
Lab,Deferred,1,14000000,8,1.356218,0.392596,1.748814
Lab,Deferred,1,14000000,16,1.315217,0.372281,1.687498
Lab,Deferred,2,14000000,2,1.364783,0.54011,1.904894
Lab,Deferred,2,14000000,4,1.359158,0.348635,1.707793
Lab,Deferred,2,14000000,8,1.405607,0.37194,1.777547
Lab,Deferred,2,14000000,16,1.362454,0.360719,1.723174
Lab,Deferred,3,14000000,2,1.793927,0.507796,2.301723
Lab,Deferred,3,14000000,4,1.803989,0.329105,2.133094
Lab,Deferred,3,14000000,8,1.83211,0.367664,2.199774
Lab,Deferred,3,14000000,16,1.723458,0.360205,2.083663
