System,Approach,Config,Particles,Threads,Overall_Time
HPC,Immediate,1,14000000,2,6.269969
HPC,Immediate,1,14000000,4,5.361038
HPC,Immediate,1,14000000,8,5.143664
HPC,Immediate,1,14000000,16,4.674788
HPC,Immediate,2,14000000,2,7.455439
HPC,Immediate,2,14000000,4,5.612012
HPC,Immediate,2,14000000,8,5.484196
HPC,Immediate,2,14000000,16,4.755559
HPC,Immediate,3,14000000,2,6.280783
HPC,Immediate,3,14000000,4,5.745283
HPC,Immediate,3,14000000,8,5.120524
HPC,Immediate,3,14000000,16,4.715698
