NX,NY,Particles,Iterations,Mode,Threads,Time_sec
250,100,900000,10,Serial,1,0.206143
250,100,900000,10,Privatization,2,0.149304
250,100,900000,10,Privatization,4,0.100084
250,100,900000,10,Privatization,8,0.061152
250,100,900000,10,Privatization,16,0.048448
250,100,5000000,10,Serial,1,1.064775
250,100,5000000,10,Privatization,2,0.670103
250,100,5000000,10,Privatization,4,0.347201
250,100,5000000,10,Privatization,8,0.219600
250,100,5000000,10,Privatization,16,0.188662
500,200,3600000,10,Serial,1,0.900824
500,200,3600000,10,Privatization,2,0.664760
500,200,3600000,10,Privatization,4,0.404508
500,200,3600000,10,Privatization,8,0.231171
500,200,3600000,10,Privatization,16,0.201308
500,200,20000000,10,Serial,1,5.137525
