NX,NY,Particles,Iterations,Mode,Threads,Time_sec
250,100,900000,10,Serial,1,0.081538
250,100,900000,10,Privatization,2,0.046618
250,100,900000,10,Privatization,4,0.025654
250,100,900000,10,Privatization,8,0.027697
250,100,900000,10,Privatization,16,0.035278
250,100,5000000,10,Serial,1,0.451949
250,100,5000000,10,Privatization,2,0.235214
250,100,5000000,10,Privatization,4,0.127638
250,100,5000000,10,Privatization,8,0.129469
250,100,5000000,10,Privatization,16,0.124559
500,200,3600000,10,Serial,1,0.335095
500,200,3600000,10,Privatization,2,0.179752
500,200,3600000,10,Privatization,4,0.099045
500,200,3600000,10,Privatization,8,0.109954
500,200,3600000,10,Privatization,16,0.120042
500,200,20000000,10,Serial,1,1.860162
500,200,20000000,10,Privatization,2,0.947152
500,200,20000000,10,Privatization,4,0.499714
500,200,20000000,10,Privatization,8,0.52526
500,200,20000000,10,Privatization,16,0.454471
1000,400,14000000,10,Serial,1,1.946024
1000,400,14000000,10,Privatization,2,1.069867
1000,400,14000000,10,Privatization,4,0.585099
1000,400,14000000,10,Privatization,8,0.765975
1000,400,14000000,10,Privatization,16,1.915211
