NX,NY,Particles,Iterations,Mode,Threads,Time_sec
500,200,20000000,10,Serial,1,1.863662
500,200,20000000,10,Privatization,2,0.972336
500,200,20000000,10,Privatization,4,0.511818
500,200,20000000,10,Privatization,8,0.523828
500,200,20000000,10,Privatization,16,0.450602
500,200,20000000,10,Domain_Decomp,2,2.34205
500,200,20000000,10,Domain_Decomp,4,2.488107
500,200,20000000,10,Domain_Decomp,8,2.332594
500,200,20000000,10,Domain_Decomp,16,3.303708
500,200,20000000,10,Atomic,2,2.678466
500,200,20000000,10,Atomic,4,1.628721
500,200,20000000,10,Atomic,8,1.454185
500,200,20000000,10,Atomic,16,1.240021
