Mode,Threads,InterpolationTime,NormalizationTime,MoverTime,DenormalizationTime,TotalTime,Voids,Config
Parallel,2,0.166942,0.001091,0.181184,0.00083,0.350047,2,1
Parallel,4,0.098365,0.000677,0.104934,0.000452,0.204429,2,1
Parallel,8,0.07062,0.000516,0.067908,0.00036,0.139403,2,1
Parallel,16,0.05451,0.000454,0.038468,0.000273,0.093705,2,1
Parallel,2,0.819393,0.001037,0.872991,0.000716,1.694138,10,2
Parallel,4,0.414283,0.000551,0.450742,0.000401,0.865977,10,2
Parallel,8,0.244682,0.000388,0.259059,0.0003,0.504429,10,2
Parallel,16,0.164904,0.001504,0.157936,0.000284,0.324628,10,2
Parallel,2,0.631782,0.003588,0.714371,0.002686,1.352427,1,3
Parallel,4,0.344169,0.001943,0.377335,0.001479,0.724926,1,3
Parallel,8,0.219403,0.001354,0.212888,0.000941,0.434586,1,3
Parallel,16,0.186139,0.001203,0.127097,0.003904,0.318343,1,3
Parallel,2,3.238636,0.003454,3.832465,0.002539,7.077093,8,4
Parallel,4,1.669419,0.001801,1.956115,0.001697,3.629032,8,4
Parallel,8,0.974814,0.001395,1.077582,0.001138,2.054929,8,4
Parallel,16,0.609846,0.001091,0.664995,0.000812,1.276743,8,4
Parallel,2,2.331814,0.013363,2.794105,0.009775,5.149057,4,5
Parallel,4,1.298245,0.007353,1.43942,0.005906,2.750923,4,5
Parallel,8,0.910963,0.005277,0.796377,0.003403,1.716019,4,5
Parallel,16,0.982865,0.002933,0.467691,0.005634,1.459122,4,5
Serial,1,0.26,0,0.31,0,0.57,1,1
Serial,1,1.44,0,1.65,0,3.09,21,2
Serial,1,1.1,0,1.27,0.01,2.38,2,3
Serial,1,6.13,0.01,6.99,0,13.13,9,4
Serial,1,4.32,0.03,4.95,0.01,9.31,2,5
